
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
83,Alec Burks,SG,29,NYK,49,1255,14.8,.564,.492,.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,,1.5,1.8,3.3,.126,,0.9,0.6,1.5,1.1,burksal01
84,Jimmy Butler,SF,31,MIA,52,1745,26.5,.607,.139,.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,,6.6,2.7,9.3,.255,,5.4,2.3,7.7,4.3,butleji01
85,Bruno Caboclo,PF,25,HOU,6,36,9.0,.475,.294,.118,8.5,34.0,20.7,4.7,0.0,5.0,18.3,25.8,,-0.1,0.0,-0.1,-0.088,,-8.5,-1.7,-10.2,-0.1,cabocbr01
86,Devontae Cacok,PF,24,LAL,20,98,17.2,.576,.000,.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,,0.1,0.2,0.3,.142,,-1.5,0.4,-1.0,0.0,cacokde01
87,Kentavious Caldwell-Pope,SG,27,LAL,67,1902,10.7,.588,.579,.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,,1.6,2.6,4.2,.107,,-1.6,1.0,-0.5,0.7,caldwke01
88,Facundo Campazzo,PG,29,DEN,65,1425,11.6,.558,.686,.289,1.8,8.9,5.3,20.2,2.7,1.0,17.1,13.1,,1.6,1.5,3.1,.105,,-1.7,1.2,-0.6,0.5,campafa01
89,Vlatko Čančar,PF,23,DEN,41,281,9.7,.547,.458,.181,4.5,15.7,10.1,6.4,1.9,0.7,15.3,14.2,,0.0,0.3,0.3,.053,,-2.6,0.0,-2.6,0.0,cancavl01
90,Devin Cannady,PG,24,ORL,8,74,11.2,.547,.571,.250,0.0,7.3,3.5,2.1,3.3,1.2,6.0,19.3,,0.0,0.1,0.1,.057,,-4.0,1.0,-3.1,0.0,cannade01
91,Clint Capela,C,26,ATL,63,1898,24.3,.601,.000,.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,,4.9,3.3,8.2,.207,,2.7,0.0,2.7,2.2,capelca01
92,Vernon Carey Jr.,C,19,CHO,19,115,11.7,.563,.194,.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,,0.0,0.1,0.2,.066,,-4.4,-1.7,-6.1,-0.1,careyve01
93,Jevon Carter,PG,25,PHO,60,717,12.2,.548,.677,.031,2.6,11.8,7.3,13.0,2.0,1.1,6.6,15.0,,0.7,0.8,1.6,.104,,-0.4,0.9,0.5,0.5,carteje01
94,Wendell Carter Jr.,C,21,TOT,54,1375,16.7,.566,.112,.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,,1.7,1.7,3.4,.118,,-1.1,-0.2,-1.3,0.2,cartewe01
94,Wendell Carter Jr.,C,21,CHI,32,792,16.3,.578,.087,.440,9.9,24.9,17.5,12.3,1.1,2.6,14.0,19.1,,1.1,1.0,2.1,.130,,-1.4,0.4,-1.0,0.2,cartewe01
